No.,漢字,読み,タイピング内容,メモ,,,
1,運命,でぃすてぃにー,delisutelini-,運命の,,,ディスティニー
2,終末,かたすとろふ,katasutorohu,終末の,,,カタストロフ
3,黄昏,とわいらいと,towairaito,黄昏の,,,トワイライト
4,理想郷,ゆーとぴあ,yu-topia,理想郷の,,,ユートピア
5,生贄,すけーぷごーと,suke-pugo-to,生贄の,,,スケープゴート
6,蜃気楼,みらーじゅ,mira-ju,蜃気楼の,,,ミラージュ
7,喧騒,ぱんでもにうむ,pandemoniumu,喧騒の,,,パンデモニウム
8,歪曲,でぃすとーしょん,dexisuto-syon,歪曲の,,,ディストーション
9,次元,でぃめんしょん,deximensyon,次元の,,,ディメンション
10,竜騎兵,どらぐーん,doragu-n,竜騎兵の,,,ドラグーン
11,創世記,じぇねしす,jyenesisu,創世記の,,,ジェネシス
12,叙情的,りりかる,ririkaru,叙情的な,,,リリカル
13,大虐殺,じぇのさいど,jyenosaido,大虐殺の,,,ジェノサイド
14,反逆,りべりおん,riberion,反逆の,,,リベリオン
15,超越,とらんせんど,torannsendo,超越せし,,,トランセンド
16,覚醒,あらうざる,arauzaru,覚醒せし,,,アラウザル
17,贋（まやかし）,でせぷしょん,desepusyon,贋の,,,デセプション
18,憂鬱,めらんこりー,merannkori-,憂鬱な,,,メランコリー
19,処罰,ぱにっしゅめんと,panissyumento,処罰の,,,パニッシュメント
20,聖域,さんくちゅあり,sannkutyuari,聖域の,,,サンクチュアリ
21,禁欲,あぶすてぃねんす,abusutexinennsu,禁欲の,,,アブスティネンス
22,重力,ぐらびてぃ,gurabitexi,重力の,,,グラビティ
23,超新星,すーぱーのヴぁ,su-pa-nova,超新星の,,,スーパーノヴァ
24,火球,ぼーらいど,bo-raido,火球の,,,ボーライド
25,銀河,ぎゃらくしー,gyarakusi-,銀河の,,,ギャラクシー
26,無限,いんふぃにてぃ,innhuxinitexi,無限の,,,インフィニティ
27,悪夢,ないとめあ,naitomea,悪夢の,,,ナイトメア
28,偏執症,ぱらのいあ,paranoia,偏執症の,,,パラノイア
29,死霊使い,ねくろまんさー,nekuromannsa-,死霊使いの,,,ネクロマンサー
30,歌姫,でぃーヴぁ,dexi-va,歌姫の,,,ディーヴァ
31,本能,いんすてぃんくと,innsutexinnkuto,本能の,,,インスティンクト
32,操り人形,まりおねっと,marionetto,操り人形の,,,マリオネット
33,厭世家,ぺしみすと,pesimisuto,厭世家の,,,ペシミスト
34,転移,ぷろびでんす,purobidennsu,転移せし,,,プロビデンス
35,絶対,あぶそりゅーと,abusoryu-to,絶対の,,,アブソリュート
36,幻影,ふぁんとむ,huxanntomu,幻影の,,,ファントム
37,不滅,いもーたる,imo-taru,不滅の,,,イモータル
38,究極,あるてぃめっと,aruteximetto,究極の,,,アルティメット
39,狂気,まっどねす,maddonesu,狂気の,,,マッドネス
40,霹靂,さんだくらっぷ,sandakurappu,霹靂の,,,サンダクラップ
41,慟哭,らめんてーしょん,ramennte-syonn,慟哭の,,,ラメンテーション
42,朧月,へーじーむーん,he-ji-m-n,朧月の,,,へージームーン
43,驟雨,さでんしゃわー,sadensyawa-,驟雨の,,,サデンシャワー
44,彗星,こめっと,kometto,彗星の,,,コメット
45,日蝕,そーらーえくりぷす,so-ra-ekuripusu,日蝕の,,,ソーラーエクリプス
46,傀儡,ぱぺっと,papetto,傀儡の,,,パペット
47,不屈,ふぉーてぃとゆーど,huxo-texitoyu-do,不屈の,,,フォーティトユード
48,不突合,いんこんしすてんしー,innkonnsisutennsi-,不突合,,,インコンシステンシー
49,菩薩,ぼーでぃさとわ,bo-dexisatowa,菩薩の,,,ボーディサトワ
50,終焉,でまいず,demaizu,終焉の,,,デマイズ
51,刹那,もーめんと,mo-mennto,刹那の,,,モーメント
52,殺戮,まさかー,masaka-,殺戮の,,,マサカー
53,煉獄,ぱーがとりー,pa-gatori-,煉獄の,,,パーガトリー
54,慈悲,まーしー,ma-si-,慈悲深き,,,マーシー
55,復讐,りべんじ,ribennji,復讐の,,,リベンジ
56,使徒,あぽすとる,aposutoru,使徒たる,,,アポストル
57,恍惚,とらんす,toransu,恍惚の,,,トランス
58,懺悔,れぺんたんす,repenntannsu,懺悔の,,,レペンタンス
59,輪廻,さむさーらー,samusa-ra-,輪廻の,,,サムサーラー
60,叡智,うぃずだむ,uxizudamu,叡智の,,,ウィズダム
61,冥府,しーおーる,si-o-ru,冥府の,,,シーオール
62,情念,ぱとす,patosu,情念の,,,パトス
63,理性,ろごす,rogosu,理性の,,,ロゴス
64,隣人愛,あがぺー,agape-,隣人愛の,,,アガペー
65,先天的,あぷりおり,apuriori,先天的な,,,アプリオリ
66,仮面,ぺるそな,perusona,仮面の,,,ペルソナ
67,二律背反,あんちのみー,anntinomi-,二律背反の,,,アンチノミー
68,逆説,ぱらどっくす,paradokkusu,逆説の,,,パラドックス
69,救世主,めしあ,mesia,救世主の,,,メシア
70,鎮魂歌,れくいえむ,rekuiemu,鎮魂歌を唄う,,,レクイエム
71,黙示録,あぽかりぷす,apokaripusu,黙示録の,,,アポカリプス
72,世界樹,ゆぐどらしる,yugudorasiru,世界樹の,,,ユグドラシル
73,大言壮語,ぶらぎんぐ,buraginngu,大言壮語な,,,ブラギング
74,羅刹,らくしゃさー,rakusyasa-,羅刹たる,,,ラクシャサー
75,夜叉,やくしゃー,yakusya-,夜叉たる,,,ヤクシャー
76,暗黒物質,だーくまたー,da-kumata-,暗黒物質の,,,ダークマター
77,深紅色,くりむぞん,kurimuzon,深紅色の,,,クリムゾン
78,存在価値,れぞんでーとる,rezonnde-toru,存在価値を問う,,,レゾンデートル
79,奮起,すたーりんぐ,suta-rinngu,,,,スターリング
80,王殺し,れじさいど,rejisaido,王殺しの,,,レジサイド
81,有罪,ぎるてぃ,girutexi,有罪の,,,ギルティ
82,破壊,ですとらくしょん,desutorakusyon,破壊の,,,デストラクション
83,天変地異,かたくりずむ,katakurizumu,天変地異を纏う,,,カタクリズム
84,呪い,まらでぃくしょん,maradexikusyon,呪いの,,,マラディクション
85,暗殺者,あさしん,asasin,暗殺者の,,,アサシン
86,存在,いぐじすてんす,igujisutennsu,存在せし,,,イグジステンス
87,絶命,あないあれーしょん,anaiare-syon,絶命の,,,アナイアレーション
88,絆,うぃんくるむ,uxinnkurumu,絆の,,,ウィンクルム
89,仲間,あみくす,amikusu,仲間たる,,,アミクス
90,悲しみ,とりすてぃーてぃあ,torisutexi-texia,悲しみの,,,トリスティーティア
91,騎士,いーくうぇす,i-kuuxesu,騎士たる,,,イークウェス
92,女王,れじーな,reji-na,女王たる,,,レジーナ
93,森,しるば,siruba,森の,,,シルバ
94,天気,てんぺすたーす,tennpesuta-su,天気の,,,テンペスタース
95,天体,あすとらむ,asutoramu,天体の,,,アストラム
96,心,あにむす,animusu,心の,,,アニムス
97,始まり,いにてぃうむ,initexiumu,始まりの,,,イニティウム
98,共感覚,しなすたじあ,sinasutajia,共感覚の,,,シナスタジア
99,予感,ぷりーもにしょん,puri-monisyonn,予感せし,,,プリーモニション
100,別人格,あるたーえご,aruta-ego,別人格の,,,アルターエゴ
101,報復,れとりびゅーしょん,retoribyu-syonn,報復の,,,レトリビューション
102,進化,えヴぉりゅーしょん,evoryu-syon,進化せし,,,エヴォリューション
103,蟲毒,えんべのめーしょん,ennbenome-syon,蠱毒の,,,エンベノメーション
104,処罰,ぱにっしゅめんと,panissyumennto,処罰の,,,パニッシュメント
105,正義,じゃすてぃす,jyasutexisu,正義の,,,ジャスティス
106,審判,じゃっじめんと,jyajjimennto,審判の,,,ジャッジメント
107,烏,れいヴん,reivunn,”烏”の,,,レイヴン
108,案山子,すけあくろう,sukeakurou,”案山子”の,,,スケアクロウ
109,皇帝,えんぺらー,ennpera-,皇帝の,,,エンペラー
110,地平線,ほらいずん,horaizun,地平線の,,,ホライズン
111,匿名,あのにます,anonimasu,匿名の,,,アノニマス
112,請負人,あんだーていかー,annda-teika-,”請負人”の,,,アンダーテイカー
113,未知,あんのうん,annnoun,未知の,,,アンノウン
114,無制限,あんりみてっど,annrimiteddo,無制限の,,,アンリミテッド
115,点火,いぐないと,igunaito,点火する,,,イグナイト
116,違法,いりーがる,iri-garu,違法の,,,イリーガル
117,不可逆,いりばーしぶる,iriba-siburu,不可逆の,,,イリバーシブル
118,自警団,ヴぃじらんて,vijirannte,自警団の,,,ヴィジランテ
119,残滓,ヴぇすてぃーじ,vesutexi-ji,残滓の,,,ヴェスティージ
120,追放者,えぐざいる,eguzairu,追放者の,,,エグザイル
121,強化,えんはんす,ennhannsu,強化されし,,,エンハンス
122,胎児,えんぶりお,ennburio,胎児の,,,エンブリオ
123,神託,おらくる,orakuru,神託を告げる,,,オラクル
124,守護者,がーでぃあん,ga-dexiann,守護者たる,,,ガーディアン
125,追走曲,かのん,kanonn,追走曲を奏でる,,,カノン
126,災難,からみてぃ,karamitexi,災難を振り撒く,,,カラミティ
127,万華鏡,かれいどすこーぷ,kareidosuo-pu,万華鏡の,,,カレイドスコープ
128,五重奏団,くいんてっと,kuinntetto,五重奏団の,,,クインテット
129,暴食,ぐらとにー,guratoni-,暴食の,,,グラトニー
130,冷笑,でりじょん,derijyonn,冷笑の,,,デリジョン
131,年代記,くろにくる,kuronikuru,年代記の,,,クロニクル
132,死骸,こーぷす,ko-pusu,死骸の,,,コープス
133,征服,こんくえすと,konnkuesuto,征服せし,,,コンクエスト
134,暗号,さいふぁー,saihuxa-,暗号の,,,サイファー
135,衛星,さてらいと,sateraito,”衛星”の,,,サテライト
136,執念,てなしてぃー,tenasitexi-,執念の,,,テナシティー
137,弱音,こんぷれーんと,konnpure-nnto,弱音の,,,コンプレーント
138,強制,えんふぉーすめんと,ennhuxo-sumennto,強制せし,,,エンフォースメント
139,摩天楼,すかいすくれいぱー,sukaisukureipa-,摩天楼の,,,スカイスクレイパー
140,夢想家,すたーげいざー,suta-geiza-,夢想家の,,,スターゲイザー
141,烙印,すてぃぐま,sutexiguma,烙印の,,,スティグマ
142,精神,すぴりっと,supiritto,精神の,,,スピリット
143,黄道,ぞでぃあっく,zodexiakku,黄道の,,,ゾディアック
144,孤独,そりちゅーど,sorityu-do,孤独の,,,ソリチュード
145,絶対君主,たいらんと,tairannto,絶対君主の,,,タイラント
146,無法者,ですぺらーど,desupera-do,無法者の,,,デスペラード
147,凱旋,とらいあんふ,toraiannhu,凱旋せし,,,トライアンフ
148,悲劇,とらじぇでぃ,torajyedexi,悲劇の,,,トラジェディ
149,氾濫,ふらっど,huraddo,氾濫の,,,フラッド
150,天罰,ねめしす,nemesisu,天罰を下す,,,ネメシス
151,夜想曲,のくたーん,nokuta-nn,夜想曲を奏でる,,,ノクターン
152,郷愁,のすたるじあ,nosutarujia,郷愁の,,,ノスタルジア
153,破裂,ばーすと,ba-suto,破裂の,,,バースト
154,黒幕,ふぃくさー,huxikusa-,黒幕の,,,フィクサー
155,断章,ふらぐめんと,huragumennto,断章の,,,フラグメント
156,凶暴,べるせるく,beruseruku,凶暴な,,,ベルセルク
157,戦慄,しゃだー,syada-,戦慄の,,,シャダー
158,渦,ぼるてっくす,vorutekkuxu,渦たる,,,ボルテックス
159,空洞,ほろう,horou,空洞の,,,ホロウ
160,母体,まとりっくす,matorikkusu,母体たる,,,マトリックス
161,渦潮,めいるしゅとろーむ,meirusyutoro-mu,渦潮を招く,,,メイルシュトローム
162,抑圧,おぷれっしょん,opuressyonn,抑圧されし,,,オプレッション
163,有能,けーぱぶる,ke-paburu,有能たる,,,ケーパブル
164,堕落,もるだー,moruda-,堕落せし,,,モルダー
165,斉唱,ゆにぞん,yunizonn,斉唱せし,,,ユニゾン
166,電光石火,らいとにんぐ,raitoninngu,電光石火,,,ライトニング
167,再起動,りぶーと,ribu-to,再起動の,,,リブート
168,精神錯乱,るなてぃっく,runatexikku,精神錯乱を招く,,,ルナティック
169,軍団,れぎおん,region,軍団の,,,レギオン
170,共鳴,れぞなんす,rezonannsu,共鳴せし,,,レゾナンス
171,革命,れぼりゅーしょん,reboryu-syonn,革命たる,,,レボリューション
172,追憶,れみにせんす,reminisennsu,追憶の,,,レミニセンス
173,諧謔曲,すけるつぉ,sukerutuxo,諧謔曲（かいぎゃくきょく）を奏でる,,,スケルツォ
174,譚詩曲,ばらーど,bara-do,譚詩曲（たんしきょく）を奏でる,,,バラード
175,間奏曲,いんてるめっつぉ,innterumettuxo,間奏曲を奏でる,,,インテルメッツォ
176,奇想曲,かぷりっちょ,kapurittyo,奇想曲を奏でる,,,カプリッチョ
177,狂詩曲,らぷそでぃー,rapusodexi-,狂詩曲を奏でる,,,ラプソディー
178,前奏曲,ぷれりゅーど,pureryu-do,前奏曲を奏でる,,,プレリュード
179,即興曲,あんぷろんぷちゅ,annpuronnputyu,即興曲を奏でる,,,アンプロンプチュ
180,練習曲,えちゅーど,etyu-do,練習曲を奏でる,,,エチュード
181,舟歌,ばるかろーる,barukaro-ru,方舟を導く,,,バルカロール
182,欺き,でぃせぷしょん,dexisepusyonn,欺く,,,ディセプション
183,迷える子羊,すとれいしーぷ,sutoreisi-pu,迷える子羊の,,,ストレイシープ
184,残像,あふたりみっじ,ahutarimijji,残像の,,,アフタリミッジ
185,顕現,まにふぇすてーしょん,manihuxesute-syonn,顕現せし,,,マニフェステーション
186,征服者,こんきすたどーる,konnkisutado-ru,征服者たる,,,コンキスタドール
187,強欲,あヴぁりてぃあ,avaritexia,強欲の,,,アヴァリティア
188,傲慢,すぺるびあ,superubia,傲慢の,,,スペルビア
189,ワルプルギスの夜,へくせんなはと,hekusennnahato,ワルプルギスの夜の,,,ヘクセンナハト
190,安らかに眠れ,れくぃえすかといんぱーけ,rekuxiesukatoinnpa-ke,安らかに眠りし,,,レクィエスカトインパーケ
191,警戒,びじらんす,bijirannsu,警戒する,,,ビジランス
192,監視,さーべーらんす,sa-be-rannsu,監視する,,,サーベーランス
193,反物質,あたいまたー,ataimata-,反物質の,,,アタイマター
194,突破,ぶれいくするー,bureikusuru-,突破する,,,ブレイクスルー
195,興奮,あじてーしょん,ajite-syonn,興奮する,,,アジテーション
196,涅槃,にるヴぁーな,niruva-na,涅槃の,,,ニルヴァーナ
197,聖杯,ほーりーぐれいる,ho-ri-gureiru,聖杯持ちし,,,ホーリーグレイル
198,護符,あみゅれっと,amyuretto,護符の,,,アミュレット
199,隠者,はーみっと,ha-mitto,隠者の,,,ハーミット
200,異端,へてろどっくす,heterodokkusu,異端の,,,ヘテロドックス
